,sample_attribute
398,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Chryseobacterium sp. YR203 || isol_growth_condt: missing || biome: missing || strain: YR203 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
399,strain: DSM 27619 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Chryseobacterium arachidis || BioSampleModel: MIGS.ba
400,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Arenibacter palladensis || isol_growth_condt: missing || biome: missing || strain: DSM 17539 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || type-material: type strain of Arenibacter palladensis || BioSampleModel: MIGS.ba
401,strain: DSM 26898 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Chryseobacterium takakiae || BioSampleModel: MIGS.ba
402,strain: DSM 25660 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Flavobacterium fontis || BioSampleModel: MIGS.ba
403,strain: DSM 24579 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Salegentibacter echinorum || BioSampleModel: MIGS.ba
404,strain: DSM 13764 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Tenacibaculum mesophilum || BioSampleModel: MIGS.ba
405,strain: DSM 19978 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Flavobacterium fluvii || BioSampleModel: MIGS.ba
406,strain: DSM 17963 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: South Korea:Pohang || lat_lon: 36.02 N 129.37 E || isolation_source: missing || type-material: type strain of Flavobacterium defluvii || BioSampleModel: MIGS.ba
407,strain: DSM 19741 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Flavobacterium segetis || BioSampleModel: MIGS.ba
408,strain: DSM 17659 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Flavobacterium micromati || BioSampleModel: MIGS.ba
409,strain: DSM 15937 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: Antarctica || lat_lon: missing || isolation_source: missing || type-material: type strain of Flavobacterium frigidimaris || BioSampleModel: MIGS.ba
410,strain: DSM 6792 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Flexibacter aurantiacus || BioSampleModel: MIGS.ba
411,strain: DSM 22638 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Flagellimonas flava || BioSampleModel: MIGS.ba
412,strain: DSM 19729 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Flavobacterium granuli || BioSampleModel: MIGS.ba
413,strain: DSM 25330 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Winogradskyella jejuensis || BioSampleModel: MIGS.ba
414,strain: DSM 19055 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: Israel: northern part || lat_lon: missing || isolation_source: missing || type-material: type strain of Chryseobacterium oranimense || BioSampleModel: MIGS.ba
415,strain: CF108 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || BioSampleModel: MIGS.ba
416,strain: DSM 100572 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Wenyingzhuangia marina || BioSampleModel: MIGS.ba
417,strain: DSM 19859 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Leeuwenhoekiella palythoae || BioSampleModel: MIGS.ba
418,strain: DSM 25479 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Cruoricaptor ignavus || BioSampleModel: MIGS.ba
419,strain: CGMCC 1.12213 || collection_date: not collected || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || host: not applicable || num_replicons: missing || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Arenitalea lutea || BioSampleModel: MIGS.ba
420,strain: DSM 27623 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Chryseobacterium zeae || BioSampleModel: MIGS.ba
421,strain: DSM 22623 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Aquimarina spongiae || BioSampleModel: MIGS.ba
422,strain: DSM 19858 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Pseudozobellia thermophila || BioSampleModel: MIGS.ba
423,strain: DSM 21425 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Mesonia phycicola || BioSampleModel: MIGS.ba
424,strain: CGMCC 1.8863 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || BioSampleModel: MIGS.ba
425,strain: DSM 26349 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Aequorivita viscosa || BioSampleModel: MIGS.ba
426,"strain: DSM 18829 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: South Korea:Republic of Korea, Daejeon region || lat_lon: 36.34 N 127.43 E || isolation_source: missing || type-material: type strain of Flavobacterium terrae || BioSampleModel: MIGS.ba"
427,strain: DSM 22807 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Flavobacterium haoranii || BioSampleModel: MIGS.ba
428,strain: DSM 16478 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Maribacter aquivivus || BioSampleModel: MIGS.ba
429,strain: DSM 18016 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: Germany || lat_lon: missing || isolation_source: missing || type-material: type strain of Chryseobacterium molle || BioSampleModel: MIGS.ba
430,strain: DSM 2064 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Flavobacterium johnsoniae || BioSampleModel: MIGS.ba
431,strain: CGMCC 1.12174 || collection_date: not collected || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || host: not applicable || num_replicons: missing || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Muricauda antarctica || BioSampleModel: MIGS.ba
432,strain: DSM 26899 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Chryseobacterium polytrichastri || BioSampleModel: MIGS.ba
433,strain: DSM 27989 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Chishuiella changwenlii || BioSampleModel: MIGS.ba
434,strain: DSM 27621 || model: MIGS.ba || package: MIGS.ba.4.0
435,strain: DSM 27251 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Myroides xuanwuensis || BioSampleModel: MIGS.ba
436,strain: DSM 24724 || model: MIGS.ba || package: MIGS.ba.4.0
437,strain: DSM 3661 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: Antarctica || lat_lon: missing || isolation_source: missing || type-material: type strain of Flavobacterium xanthum || BioSampleModel: MIGS.ba
438,strain: DSM 6368 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Flavobacterium pectinovorum || BioSampleModel: MIGS.ba
439,strain: DSM 1811 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: United Kingdom: River Wey || lat_lon: missing || isolation_source: missing || type-material: type strain of Flavobacterium saccharophilum || BioSampleModel: MIGS.ba
440,strain: DSM 1076 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: Netherlands || lat_lon: missing || isolation_source: missing || type-material: type strain of Flavobacterium flevense || BioSampleModel: MIGS.ba
441,strain: DSM 25581 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Chryseobacterium carnipullorum || BioSampleModel: MIGS.ba
442,strain: CGMCC 1.2749 || collection_date: not collected || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || host: not applicable || num_replicons: missing || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || BioSampleModel: MIGS.ba
443,strain: ACAM 48 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: Antarctica: Organic Lake || lat_lon: 68.4564 S 78.1897 E || isolation_source: missing || type-material: type strain of Salegentibacter salegens || BioSampleModel: MIGS.ba
444,strain: KT 15 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || BioSampleModel: MIGS.ba
445,strain: DSM 16779 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Chryseobacterium scophthalmum || BioSampleModel: MIGS.ba
446,strain: DSM 16209 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Flavobacterium fryxellicola || BioSampleModel: MIGS.ba
447,
448,strain: DSM 18830 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: South Korea:Sangju region || lat_lon: missing || isolation_source: missing || type-material: type strain of Flavobacterium cucumis || BioSampleModel: MIGS.ba
449,strain: DSM 15366 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: Russia || lat_lon: missing || isolation_source: missing || type-material: type strain of Maribacter ulvicola || BioSampleModel: MIGS.ba
450,strain: RU33C || model: MIGS.ba || package: MIGS.ba.4.0
451,strain: RU37D || model: MIGS.ba || package: MIGS.ba.4.0
452,strain: DSM 17126 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: Japan || lat_lon: missing || isolation_source: missing || type-material: type strain of Chryseobacterium shigense || BioSampleModel: MIGS.ba
453,strain: DSM 2061 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: USA || lat_lon: missing || isolation_source: missing || type-material: type strain of Zobellia uliginosa || BioSampleModel: MIGS.ba
454,"strain: DSM 21068 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: Chile: Region Los Lagos, Osorno || lat_lon: 39.85 S 72.83 W || isolation_source: missing || type-material: type strain of Chryseobacterium piscicola || BioSampleModel: MIGS.ba"
455,"strain: DSM 23145 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: Chile: Lake Chapo, 43 km north-west of Puerto Montt || lat_lon: 41.47 S 72.93 W || isolation_source: missing || type-material: type strain of Chryseobacterium chaponense || BioSampleModel: MIGS.ba"
456,strain: DSM 18017 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: Germany || lat_lon: missing || isolation_source: missing || type-material: type strain of Chryseobacterium ureilyticum || BioSampleModel: MIGS.ba
457,strain: DSM 18014 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: Germany || lat_lon: missing || isolation_source: missing || type-material: type strain of Chryseobacterium gambrini || BioSampleModel: MIGS.ba
458,"collected_by: Keck N., LDV Herault, Montpellier, France || collection date: 2004 || geographic location (country and/or sea): France || host scientific name: Cyprinus carpio || host health state: not provided || isolation_source: internal organs || lat_lon:  || isolate: CIP108654 || strain: LDVH-AR107 || serovar: "
459,
460,"collected_by: Pechter I., Israel || collection date: 1980 || geographic location (country and/or sea): Israel || host scientific name: human || host health state: not provided || isolation_source: tracheal exsudate || lat_lon:  || isolate: CIP80.33 || strain: 58-80 || serovar: "
461,
462,
463,
464,
465,"collected_by: Keck N., LDV Herault, Montpellier, France || collection date: 2002 || geographic location (country and/or sea): France || host scientific name: Xenopus laevi || host health state: not provided || isolation_source: spleen || lat_lon:  || isolate: CIP108653 || strain: LDVH-337.01 || serovar: "
466,strain: DSM 22323 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Soonwooa buanensis || BioSampleModel: MIGS.ba
467,strain: DSM 23546 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Maribacter arcticus || BioSampleModel: MIGS.ba
468,strain: DSM 23405 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Salegentibacter holothuriorum || BioSampleModel: MIGS.ba
469,strain: DSM 23400 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Salegentibacter salinarum || BioSampleModel: MIGS.ba
470,strain: DSM 16775 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Chryseobacterium balustinum || BioSampleModel: MIGS.ba
471,strain: DSM 23401 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Salegentibacter salarius || BioSampleModel: MIGS.ba
472,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Chryseobacterium sp. YR221 || isol_growth_condt: missing || biome: missing || strain: YR221 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
473,"strain: DSM 21164 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: South Korea: Taean region, Jeju || lat_lon: 33.51 N 126.52 E || isolation_source: missing || type-material: type strain of Cellulophaga tyrosinoxydans || BioSampleModel: MIGS.ba"
474,strain: CGMCC 1.12708 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Moheibacter sediminis || BioSampleModel: MIGS.ba
475,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Arenibacter troitsensis || isol_growth_condt: missing || biome: missing || strain: DSM 19835 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || type-material: type strain of Arenibacter troitsensis || BioSampleModel: MIGS.ba
476,synonym: Gp0194197 || strain: DSM 19382 || geographic location: South Korea:Busan || latitude and longitude: 35.1 N 129.01 E || model: MIGS.ba || package: MIGS.ba.4.0 || ENA-FIRST-PUBLIC: 2017-05-03 || ENA-LAST-UPDATE: 2017-05-03
477,synonym: Gp0194253 || strain: DSM 29371 || model: MIGS.ba || package: MIGS.ba.4.0 || ENA-FIRST-PUBLIC: 2017-05-03 || ENA-LAST-UPDATE: 2017-05-03
478,synonym: Gp0194254 || strain: DSM 29982 || model: MIGS.ba || package: MIGS.ba.4.0 || ENA-FIRST-PUBLIC: 2017-05-03 || ENA-LAST-UPDATE: 2017-05-03
479,strain: NCTC11014 || sample_description || collection_date: 1932 || specific_host: Duck || anonymized_name: 2660916 || isolation_source: Blood || host_status: not applicable || supplier_name: NCTC11014 || culture_collection: NCTC:11014
480,strain: NCTC13490 || sample_description || collection_date: 1900/2009 || specific_host: not applicable || anonymized_name: 2755631 || country: China || isolation_source: Soil || host_status: not applicable || supplier_name: NCTC13490 || culture_collection: NCTC:13490
481,strain: NCTC12947 || sample_description || collection_date: 1900/1994 || specific_host: Human (Male) || anonymized_name: 2797704 || isolation_source: Supragingival dental plaque || host_status: not applicable || supplier_name: NCTC12947 || culture_collection: NCTC:12947
482,geo_loc_name: missing || collection_date: not collected || ref_biomaterial: missing || lat_lon: missing || num_replicons: missing || env_biome: missing || env_feature: missing || strain: OV086 || env_material: missing || isol_growth_condt: missing || BioSampleModel: MIGS.ba
483,strain: DSM 29150 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Lutibacter agarilyticus || BioSampleModel: MIGS.ba
484,synonym: Gp0194240 || strain: DSM 25597 || model: MIGS.ba || package: MIGS.ba.4.0 || ENA-FIRST-PUBLIC: 2017-06-20 || ENA-LAST-UPDATE: 2017-06-20
485,strain: DSM 27993 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Lutibacter flavus || BioSampleModel: MIGS.ba
486,strain: DSM 19840 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Maribacter sedimenticola || BioSampleModel: MIGS.ba
487,strain: CGMCC 1.12641 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Salinimicrobium sediminis || BioSampleModel: MIGS.ba
488,strain: DSM 25885 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Flagellimonas pacifica || BioSampleModel: MIGS.ba
489,
490,strain: NCTC11660 || sample_description:  || ArrayExpress-StrainOrLine: NCTC11660 || ArrayExpress-Species: Bergeyella zoohelcum
491,
492,strain: NCTC12948 || sample_description || ArrayExpress-StrainOrLine: NCTC12948 || ArrayExpress-Species: Capnocytophaga granulosa
493,strain: NCTC11653 || sample_description:  || ArrayExpress-StrainOrLine: NCTC11653 || ArrayExpress-Species: Capnocytophaga sputigena
494,
495,strain: NCTC11212 || sample_description || ArrayExpress-Phenotype: Not applicable || ArrayExpress-StrainOrLine: NCTC11212 || ArrayExpress-Species: Chryseobacterium balustinum || ENA-FIRST-PUBLIC: 2017-09-19 || ENA-LAST-UPDATE: 2017-01-12
496,Strain: NCTC13533 || Sample Description:  || ArrayExpress-StrainOrLine: NCTC13533 || ArrayExpress-Species: Chryseobacterium shigense
497,
498,
499,Strain: NCTC13532 || Sample Description:  || ArrayExpress-StrainOrLine: NCTC13532 || ArrayExpress-Species: Chryseobacterium indoltheticum
500,
501,
502,
503,Strain: NCTC10588 || Sample Description:  || ArrayExpress-StrainOrLine: NCTC10588 || ArrayExpress-Species: Elizabethkingia meningoseptica
504,
505,
506,strain: NCTC11180 || sample_description:  || ArrayExpress-StrainOrLine: NCTC11180 || ArrayExpress-Species: Myroides odoratimimus
507,strain: NCTC11036 || sample_description:  || ArrayExpress-StrainOrLine: NCTC11036 || ArrayExpress-Species: Myroides odoratus
508,
509,strain: NCTC12242 || sample_description || ArrayExpress-StrainOrLine: NCTC12242 || ArrayExpress-Species: Capnocytophaga canimorsus
510,
511,strain: NCTC10796 || sample_description:  || ArrayExpress-Phenotype: N/A || ArrayExpress-StrainOrLine: NCTC10796 || ArrayExpress-Species: Chryseobacterium indologenes
512,strain: NCTC10016 || sample_description:  || ArrayExpress-Phenotype: N/A || ArrayExpress-StrainOrLine: NCTC10016 || ArrayExpress-Species: Elizabethkingia meningoseptica
513,
514,
515,
516,
517,
518,strain: NCTC11432 || sample_description:  || ArrayExpress-Phenotype: N/A || ArrayExpress-StrainOrLine: NCTC11432 || ArrayExpress-Species: Chryseobacterium gleum
519,strain: NCTC13529 || sample_description || ArrayExpress-StrainOrLine: NCTC13529 || ArrayExpress-Species: Chryseobacterium nakagawai || ENA-FIRST-PUBLIC: 2017-09-19 || ENA-LAST-UPDATE: 2016-12-09
520,strain: NCTC11634 || sample_description || ArrayExpress-Phenotype: Not applicable || ArrayExpress-StrainOrLine: NCTC11634 || ArrayExpress-Species: Weeksella virosa || ENA-FIRST-PUBLIC: 2017-09-19 || ENA-LAST-UPDATE: 2016-12-13
521,strain: NCTC13489 || sample_description || ArrayExpress-Phenotype: Not applicable || ArrayExpress-StrainOrLine: NCTC13489 || ArrayExpress-Species: Chryseobacterium antarcticum || ENA-FIRST-PUBLIC: 2017-09-19 || ENA-LAST-UPDATE: 2017-01-12
522,SUBJECT_ID: 3012STDY6944352 || ArrayExpress-STRAIN_OR_LINE: NCTC11097 || ArrayExpress-SPECIES: Capnocytophaga sputigena || ENA-FIRST-PUBLIC: 2017-10-12 || ENA-LAST-UPDATE: 2017-08-07
523,
524,
525,
526,
527,Alias: Flavo_2 || ENA checklist: ERC000020 || INSDC center alias: NIOO KNAW || INSDC center name: NIOO KNAW || INSDC first public: 2019-07-09T17:06:29Z || INSDC last update: 2019-07-09T15:28:25Z || INSDC status: public || SRA accession: ERS3568299 || Sample Name: ERS3568299 || Title: endosphere flavobacterium isolate || collection date: 2010-10-20 || environment (biome): area of cropland || environment (feature): area of cropland || environment (material): endosphere environment || geographic location (country and/or sea): Netherlands || geographic location (latitude): 51.9691868 || geographic location (longitude): 5.665394800000058 || investigation type: bacteria_archaea || plant-associated environmental package: plant-associated || project name: Unlock the secrets of disease suppressive soils || sequencing method: PacBio RS II
528,Alias: Flavo_1 || ENA checklist: ERC000020 || INSDC center alias: NIOO KNAW || INSDC center name: NIOO KNAW || INSDC first public: 2019-07-09T17:06:29Z || INSDC last update: 2019-07-09T15:28:25Z || INSDC status: public || SRA accession: ERS3568298 || Sample Name: ERS3568298 || Title: endosphere flavobacterium isolate || collection date: 2010-10-20 || environment (biome): area of cropland || environment (feature): area of cropland || environment (material): endosphere environment || geographic location (country and/or sea): Netherlands || geographic location (latitude): 51.9691868 || geographic location (longitude): 5.665394800000058 || investigation type: bacteria_archaea || plant-associated environmental package: plant-associated || project name: Unlock the secrets of disease suppressive soils || sequencing method: PacBio RS II
